City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Windspeed,Country,Date
0,fortuna foothills,32.6578,-114.4119,302.98,13,0,8.75,US,1651685264
1,atuona,-9.8,-139.0333,299.11,73,90,7.42,PF,1651685265
2,kodiak,57.79,-152.4072,278.88,87,100,2.06,US,1651685265
3,butaritari,3.0707,172.7902,299.95,80,29,5.21,KI,1651685266
4,east london,-33.0153,27.9116,292.67,94,40,0.51,ZA,1651685267
5,punta arenas,-53.15,-70.9167,280.21,81,75,6.69,CL,1651685267
6,kulhudhuffushi,6.6221,73.07,303.19,68,100,6.59,MV,1651685268
7,shellbrook,53.2168,-106.4011,276.72,75,100,3.67,CA,1651685268
8,cape town,-33.9258,18.4232,291.55,86,0,4.12,ZA,1651685226
9,bluff,-46.6,168.3333,281.37,81,1,3.72,NZ,1651685270
10,mataura,-46.1927,168.8643,281.19,90,2,1.31,NZ,1651685270
11,husavik,66.0449,-17.3389,274.33,87,92,1.91,IS,1651685271
12,rikitea,-23.1203,-134.9692,298.39,82,68,9.05,PF,1651685271
13,taoudenni,22.6783,-3.9836,312.12,8,28,7.12,ML,1651685272
14,cornereva,45.0667,22.4167,285.31,87,99,1.71,RO,1651685272
15,nouadhibou,20.931,-17.0347,296.14,60,11,9.26,MR,1651685272
16,andenes,69.3143,16.1194,274.14,80,40,3.09,NO,1651685273
17,castro,-24.7911,-50.0119,286.51,77,68,5.49,BR,1651685273
18,bambous virieux,-20.3428,57.7575,299.29,78,40,7.2,MU,1651685274
19,iqaluit,63.7506,-68.5145,262.0,72,20,9.77,CA,1651685275
20,ushuaia,-54.8,-68.3,279.94,65,40,6.17,AR,1651685275
21,atar,20.5169,-13.0499,310.61,12,5,4.09,MR,1651685276
22,khatanga,71.9667,102.5,258.96,100,99,1.16,RU,1651685276
23,dikson,73.5069,80.5464,263.46,81,95,9.1,RU,1651685277
24,georgetown,5.4112,100.3354,301.12,89,20,1.54,MY,1651685277
25,farafangana,-22.8167,47.8333,295.47,74,1,1.94,MG,1651685278
26,alice springs,-23.7,133.8833,289.9,55,94,5.66,AU,1651685278
27,mount gambier,-37.8333,140.7667,279.1,93,75,1.54,AU,1651685278
28,gornozavodsk,58.3758,58.3211,277.06,93,98,4.59,RU,1651685279
29,tura,25.5198,90.2201,294.22,88,18,1.48,IN,1651685279
30,cartagena,10.3997,-75.5144,304.94,70,40,5.14,CO,1651685223
31,hermanus,-34.4187,19.2345,291.37,82,20,2.35,ZA,1651685281
32,tiksi,71.6872,128.8694,257.33,97,19,1.82,RU,1651685281
33,nara,34.6851,135.8049,287.98,62,95,0.59,JP,1651685282
34,busselton,-33.65,115.3333,284.1,67,0,5.79,AU,1651685116
35,clinton,42.587,-82.9199,288.83,80,75,7.2,US,1651685283
36,dingle,10.9995,122.6711,298.47,81,76,3.15,PH,1651685283
37,lagoa,39.05,-27.9833,290.3,83,100,4.74,PT,1651685284
38,nikolskoye,59.7035,30.7861,279.09,58,62,3.39,RU,1651685284
39,fasa,28.9383,53.6482,291.73,22,1,3.09,IR,1651685285
40,ukiah,39.1502,-123.2078,299.24,41,0,2.06,US,1651685285
41,portland,45.5234,-122.6762,288.68,70,75,2.06,US,1651685220
42,airai,-8.9266,125.4092,288.3,91,78,1.3,TL,1651685287
43,upernavik,72.7868,-56.1549,262.25,88,86,3.66,GL,1651685287
44,mogadishu,2.0371,45.3438,300.94,78,69,6.66,SO,1651685288
45,barrow,71.2906,-156.7887,264.16,86,100,5.66,US,1651685288
46,sabzevar,36.2126,57.6819,287.75,88,40,5.14,IR,1651685289
47,sao filipe,14.8961,-24.4956,296.13,77,3,4.33,CV,1651685289
48,vaini,-21.2,-175.2,295.24,94,20,2.57,TO,1651685290
49,goundam,16.4145,-3.6708,313.61,8,81,2.52,ML,1651685290
50,policoro,40.2115,16.6726,291.94,67,43,2.64,IT,1651685291
51,madang,-5.2246,145.7966,297.81,93,98,2.53,PG,1651685292
52,katsuura,35.1333,140.3,290.47,78,86,6.68,JP,1651685292
53,cabo san lucas,22.8909,-109.9124,301.27,50,0,5.14,MX,1651685292
54,daru,-9.0763,143.2092,300.15,76,100,3.98,PG,1651685293
55,ilula,-7.6766,36.0366,287.91,96,79,2.29,TZ,1651685293
56,makakilo city,21.3469,-158.0858,295.93,78,0,3.09,US,1651685294
57,terrace,54.5163,-128.6035,278.1,93,100,4.12,CA,1651685295
58,new norfolk,-42.7826,147.0587,279.1,79,57,0.45,AU,1651685295
59,narsaq,60.9167,-46.05,279.27,51,11,1.99,GL,1651685295
60,galmaarden,50.7517,3.9933,290.25,67,98,0.89,BE,1651685296
61,lebu,-37.6167,-73.65,288.13,76,100,7.06,CL,1651685297
62,omsukchan,62.5333,155.8,261.03,99,74,1.76,RU,1651685298
63,cidreira,-30.1811,-50.2056,292.72,87,99,8.66,BR,1651685298
64,jamestown,42.097,-79.2353,285.11,94,100,4.63,US,1651685299
65,rustenburg,-25.6676,27.2421,291.77,37,5,0.05,ZA,1651685300
66,bosaso,11.2842,49.1816,302.64,72,63,1.14,SO,1651685300
67,paris,48.8534,2.3488,291.07,53,0,4.12,FR,1651685101
68,noumea,-22.2763,166.4572,298.15,99,6,3.78,NC,1651685301
69,la ronge,55.1001,-105.2842,274.29,75,100,3.6,CA,1651685301
70,zhytomyr,50.2649,28.6767,281.36,55,38,4.41,UA,1651685302
71,baykit,61.67,96.37,269.47,96,70,0.87,RU,1651685302
72,itupiranga,-5.1347,-49.3267,304.33,80,99,1.25,BR,1651685302
73,leningradskiy,69.3833,178.4167,257.96,93,56,2.84,RU,1651685303
74,karasburg,-28.0167,18.75,296.53,21,0,5.0,NA,1651685303
75,yellowknife,62.456,-114.3525,276.44,87,100,8.75,CA,1651685304
76,bulgan,48.8125,103.5347,274.39,79,68,7.88,MN,1651685305
77,broome,42.2506,-75.833,289.2,90,100,3.09,US,1651685306
78,pilar,-9.5972,-35.9567,303.11,60,65,4.24,BR,1651685306
79,wanning,18.8003,110.3967,295.8,89,63,3.12,CN,1651685307
