,City,Country,Date,Latitude,Longitude,Cloudiness (%),Humidity (%),Max Temp (F),Wind Speed (mph)
0,rikitea,PF,2022-05-04 19:40:53,-23.1203,-134.9692,74,83,77.63000000000005,8.77
1,albany,US,2022-05-04 19:40:54,42.6001,-73.9662,100,92,53.653999999999954,1.63
2,brejning,DK,2022-05-04 19:40:54,55.6613,9.677,100,69,55.688000000000045,4.51
3,ushuaia,AR,2022-05-04 19:40:54,-54.8,-68.3,40,65,44.492,6.17
4,cape town,ZA,2022-05-04 19:40:55,-33.9258,18.4232,0,87,64.38200000000002,4.12
5,takoradi,GH,2022-05-04 19:40:55,4.8845,-1.7554,75,76,82.92200000000004,4.51
6,kavieng,PG,2022-05-04 19:40:56,-2.5744,150.7967,75,77,82.75999999999999,4.88
7,iqaluit,CA,2022-05-04 19:40:56,63.7506,-68.5145,20,73,12.2,9.77
8,san carlos de bariloche,AR,2022-05-04 19:40:57,-41.1456,-71.3082,75,51,60.817999999999984,10.8
9,lagos,NG,2022-05-04 19:40:57,6.5833,3.75,79,91,77.59399999999997,1.33
10,sola,VU,2022-05-04 19:40:34,-13.8833,167.55,100,78,80.33000000000004,1.3
11,mataura,NZ,2022-05-04 19:40:58,-46.1927,168.8643,2,88,46.742,1.36
12,busselton,AU,2022-05-04 19:40:59,-33.65,115.3333,0,65,52.44800000000002,5.92
13,tautira,PF,2022-05-04 19:40:59,-17.7333,-149.15,70,77,81.842,4.83
14,dolores,AR,2022-05-04 19:41:00,-36.3132,-57.6792,1,40,65.49800000000002,4.45
15,hilo,US,2022-05-04 19:38:57,19.7297,-155.09,100,96,77.558,1.54
16,ribeira grande,PT,2022-05-04 19:41:01,38.5167,-28.7,40,82,66.86600000000001,3.09
17,port alfred,ZA,2022-05-04 19:41:02,-33.5906,26.891,16,92,63.446000000000055,1.6
18,bambous virieux,MU,2022-05-04 19:41:03,-20.3428,57.7575,40,78,79.32200000000003,7.2
19,chuy,UY,2022-05-04 19:41:03,-33.6971,-53.4616,52,67,65.89399999999998,3.63
20,hobart,AU,2022-05-04 19:41:04,-42.8794,147.3294,72,91,43.32200000000004,4.12
21,zyryanka,RU,2022-05-04 19:41:04,65.75,150.85,100,92,29.641999999999996,0.77
